weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,rain.1h
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806386.0,-7200.0,3418910.0,Upernavik,200,-56.1549,72.7868,44.76,40.82,44.76,44.76,1013.0,73.0,7.11,157.0,7.29,100.0,,,GL,0.0,0.0,1013.0,1013.0,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627806216.0,34200.0,2156643.0,Mount Gambier,200,140.7667,-37.8333,46.02,43.34,46.02,46.02,1012.0,96.0,5.32,339.0,13.96,59.0,,,AU,1627767440.0,1627804145.0,1012.0,1004.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806386.0,18000.0,1218612.0,Murgab,200,61.9714,37.4966,96.67,92.32,96.67,96.67,1005.0,15.0,11.5,340.0,23.02,0.0,1.0,8990.0,TM,1627779363.0,1627830042.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806386.0,43200.0,2122090.0,Pevek,200,170.3133,69.7008,34.03,22.8,34.03,34.03,1013.0,91.0,19.46,2.0,22.55,96.0,,,RU,1627740798.0,1627816605.0,1013.0,1006.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806386.0,43200.0,2110227.0,Butaritari,200,172.7902,3.0707,83.3,89.01,83.3,83.3,1010.0,70.0,7.18,117.0,7.52,23.0,,,KI,1627756056.0,1627800158.0,1010.0,1009.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806386.0,7200.0,80509.0,Al Bardīyah,200,25.0865,31.7561,88.39,91.71,88.39,88.39,1009.0,50.0,18.81,321.0,21.34,0.0,,,LY,1627788921.0,1627838188.0,1009.0,1005.0,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627806386.0,7200.0,3366880.0,Hermanus,200,19.2345,-34.4187,60.8,60.3,55.9,60.8,1024.0,79.0,12.33,276.0,18.19,34.0,2.0,2006131.0,ZA,1627796183.0,1627833736.0,1024.0,1021.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,9000.0,1627806386.0,-14400.0,3578447.0,Sainte-Rose,200,-61.6979,16.3324,77.04,78.58,77.04,77.04,1017.0,88.0,0.0,0.0,,12.0,1.0,8780.0,GP,1627811258.0,1627857507.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806386.0,19800.0,1267390.0,Kavaratti,200,72.642,10.5669,82.6,89.15,82.6,82.6,1010.0,76.0,15.64,296.0,18.52,89.0,,,IN,1627779493.0,1627824790.0,1010.0,1009.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806386.0,28800.0,2021093.0,Kuytun,200,101.5036,54.3419,65.93,64.9,65.93,65.93,1009.0,57.0,8.75,309.0,12.53,100.0,,,RU,1627766731.0,1627823700.0,1009.0,949.0,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627806387.0,-14400.0,3664956.0,Boca do Acre,200,-67.3978,-8.7522,61.74,60.3,61.74,61.74,1018.0,57.0,1.99,160.0,2.13,45.0,,,BR,1627814623.0,1627856877.0,1018.0,1006.0,,
